"Euroset, Svyaznoi","Euroset, Svyaznoi"
"Sberbank","Sberbank"
"Elecsnet","Elecsnet"
"Bank transfer","Bank transfer"

"Enabled","Enabled"
"Title","Title"
"Logotype","Logotype"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment URL","Payment URL"
"Account number","Account number"
"Code of data integrity verification","Code of data integrity verification"
"Test mode","Test mode"
"Use kassa.payanyway.ru","Use kassa.payanyway.ru"
"Login in PayAnyWay","Login in PayAnyWay"
"Password in PayAnyWay","Password in PayAnyWay"
"Account Settings","Account Settings"

"Place Order","Place Order"

"Payment has been completed.","Payment has been completed."
"The order has been canceled.","The order has been canceled."
"The customer was redirected to Payanyway.","The customer was redirected to Payanyway."
"Payanyway Transaction ID: %s","Payanyway Transaction ID: %s"
"Payment has not been processed yet.","Payment has not been processed yet."
"You will be redirected to the payment system page when you place an order.","You will be redirected to the payment system page when you place an order."
"Invoice will be created after you place an order.","Invoice will be created after you place an order."
"Redirecting...","Redirecting..."
"Click <a %s>here</a> if nothing has happened","Click <a %s>here</a> if nothing has happened"
"Phone number","Phone number"
"Sender ZIP","Sender ZIP"
"Sender region","Sender region"
"Sender address","Sender address"
"Sender name","Sender name"
"Payment system","Payment system"
"Invoice was created","Invoice was created"
"Error occured during creating invoice","Error occured during creating invoice"
"Total amount:  %s","Total amount:  %s"

"Internet-bank login","Internet-bank login"
"Payment purpose","Payment purpose"
"Phone number formatted as 10 digits, w/o +7 or 8","Phone number formatted as 10 digits, w/o +7 or 8"
"Comment","Comment"

"Canceled by payment system.","Canceled by payment system."
